request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_86,46300.0,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"The full amount of INR 46,300.00 can be paid on 2025-08-03 while keeping the INR 84,900.00 minimum balance protected."
request_87,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-15. Only INR 0.00 is safely available now; none of the available options keeps the INR 185,900.00 minimum protected while covering the full INR 487,900.00."
request_88,8220.77,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,stop:event_8268|reduce_to:event_8301:655.6,"The ZAR 26,092.00 is best paid in 3 installments (2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23), each timed to when the balance can safely absorb the payment above ZAR 25,800.00."
request_89,9934085.55,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-04,none,"The IDR 13,756,000.00 is best paid in 3 installments (2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67), each timed to when the balance can safely absorb the payment above IDR 12,534,700.00."
request_90,2560.0,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"The full amount of ZAR 2,560.00 can be paid on 2026-07-06 while keeping the ZAR 7,600.00 minimum balance protected."
request_91,409.33,not_affordable,not_recommended,none,2024-09-03,none,"Do not make this payment by 2024-11-15. Only EUR 409.33 is safely available now; none of the available options keeps the EUR 2,100.00 minimum protected while covering the full EUR 1,927.20."
request_92,32061.29,not_affordable,not_recommended,none,2025-02-05,none,"Do not make this payment by 2025-02-14. Only ZAR 32,061.29 is safely available now; none of the available options keeps the ZAR 28,100.00 minimum protected while covering the full ZAR 34,034.00."
request_93,1639.78,affordable_with_plan,full_payment,2026-04-07:1729.2,2026-04-07,stop:event_8691|reduce_to:event_8730:48,"The full USD 1,729.20 is payable on 2026-04-07 after applying spending adjustments (stop:event_8691|reduce_to:event_8730:48), which free up sufficient cash while protecting the USD 1,900.00 minimum."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,The full amount of EUR 572.00 can be paid on 2024-12-04 while keeping the EUR 600.00 minimum balance protected.
request_95,23848.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. Only INR 23,848.07 is safely available now; none of the available options keeps the INR 145,500.00 minimum protected while covering the full INR 553,000.00."
request_96,73892.29,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-03,none,"The INR 90,200.00 is best paid in 3 installments (2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33), each timed to when the balance can safely absorb the payment above INR 56,500.00."
request_97,0.0,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"The ZAR 23,496.00 is best paid in 3 installments (2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28), each timed to when the balance can safely absorb the payment above ZAR 29,700.00."
request_98,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-15. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 30,000.00 minimum protected while covering the full ZAR 27,148.00."
request_99,13507.89,not_affordable,not_recommended,none,2026-07-04,none,"Do not make this payment by 2026-07-14. Only ZAR 13,507.89 is safely available now; none of the available options keeps the ZAR 49,100.00 minimum protected while covering the full ZAR 18,062.00."
request_100,18072.73,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"The ZAR 37,114.00 is best paid in 3 installments (2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19), each timed to when the balance can safely absorb the payment above ZAR 32,500.00."
request_101,139613.48,affordable_with_plan,full_payment,2025-11-03:143500,2025-11-03,stop:event_9378|reduce_to:event_9418:4210,"The full INR 143,500.00 is payable on 2025-11-03 after applying spending adjustments (stop:event_9378|reduce_to:event_9418:4210), which free up sufficient cash while protecting the INR 187,400.00 minimum."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"The EUR 1,716.00 is best paid in 3 installments (2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88), each timed to when the balance can safely absorb the payment above EUR 900.00."
request_103,3941.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. Only INR 3,941.31 is safely available now; none of the available options keeps the INR 125,500.00 minimum protected while covering the full INR 368,300.00."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"The full amount of ZAR 17,204.00 can be paid on 2025-02-04 while keeping the ZAR 24,700.00 minimum balance protected."
request_105,53500.0,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"The full amount of INR 53,500.00 can be paid on 2026-06-08 while keeping the INR 73,900.00 minimum balance protected."
request_106,318.78,affordable_later,wait,2025-01-15:2207.7,2025-01-15,none,"Insufficient funds today; EUR 318.78 is safely available now. Wait until 2025-01-15 when projected cash flow supports the full EUR 2,207.70 above the EUR 1,200.00 minimum balance."
request_107,479.99,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-05,none,"The EUR 2,534.40 is best paid in 3 installments (2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59), each timed to when the balance can safely absorb the payment above EUR 1,600.00."
request_108,80.97,affordable_later,wait,2026-09-24:55308,2026-09-24,none,"Insufficient funds today; ZAR 80.97 is safely available now. Wait until 2026-09-24 when projected cash flow supports the full ZAR 55,308.00 above the ZAR 24,100.00 minimum balance."
request_109,698.48,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"The EUR 1,863.40 is best paid in 3 installments (2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98), each timed to when the balance can safely absorb the payment above EUR 1,700.00."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"The ZAR 22,352.00 is best paid in 3 installments (2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69), each timed to when the balance can safely absorb the payment above ZAR 11,200.00."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"The full amount of IDR 16,625,000.00 can be paid on 2026-04-03 while keeping the IDR 23,022,800.00 minimum balance protected."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.7,2024-06-05,none,The full amount of EUR 271.70 can be paid on 2024-06-05 while keeping the EUR 500.00 minimum balance protected.
request_113,29518.73,not_affordable,not_recommended,none,2026-09-04,none,"Do not make this payment by 2026-10-19. Only INR 29,518.73 is safely available now; none of the available options keeps the INR 82,300.00 minimum protected while covering the full INR 36,500.00."
request_114,63335.28,affordable_with_plan,full_payment,2026-01-04:65300,2026-01-04,stop:event_10559,"The full INR 65,300.00 is payable on 2026-01-04 after applying spending adjustments (stop:event_10559), which free up sufficient cash while protecting the INR 113,400.00 minimum."
request_115,8819.63,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Insufficient funds today; INR 8,819.63 is safely available now. Wait until 2024-10-15 when projected cash flow supports the full INR 80,500.00 above the INR 38,800.00 minimum balance."
request_116,6618.31,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. Only INR 6,618.31 is safely available now; none of the available options keeps the INR 80,300.00 minimum protected while covering the full INR 241,200.00."
request_117,824.63,not_affordable,not_recommended,none,2026-07-05,none,"Do not make this payment by 2026-07-14. Only EUR 824.63 is safely available now; none of the available options keeps the EUR 1,000.00 minimum protected while covering the full EUR 880.00."
request_118,681.63,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-07,none,"The EUR 738.10 is best paid in 3 installments (2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87), each timed to when the balance can safely absorb the payment above EUR 600.00."
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. Only INR 0.00 is safely available now; none of the available options keeps the INR 151,200.00 minimum protected while covering the full INR 203,500.00."
request_120,7644820.16,affordable_with_plan,full_payment,2026-04-06:7714000,2026-04-06,stop:event_11086,"The full IDR 7,714,000.00 is payable on 2026-04-06 after applying spending adjustments (stop:event_11086), which free up sufficient cash while protecting the IDR 20,050,300.00 minimum."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.6,2024-03-03,none,The full amount of USD 633.60 can be paid on 2024-03-03 while keeping the USD 800.00 minimum balance protected.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"The IDR 20,558,000.00 is best paid in 3 installments (2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33), each timed to when the balance can safely absorb the payment above IDR 12,588,500.00."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"The full amount of IDR 4,076,000.00 can be paid on 2026-01-07 while keeping the IDR 18,091,200.00 minimum balance protected."
request_124,1237.66,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"The EUR 3,104.20 is best paid in 3 installments (2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12), each timed to when the balance can safely absorb the payment above EUR 1,600.00."
request_125,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-11-14. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 11,300.00 minimum protected while covering the full ZAR 6,468.00."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"The full amount of INR 159,600.00 can be paid on 2026-07-03 while keeping the INR 129,700.00 minimum balance protected."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. Only ZAR 0.00 is safely available now; none of the available options keeps the ZAR 41,000.00 minimum protected while covering the full ZAR 23,980.00."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"The full amount of ZAR 25,168.00 can be paid on 2025-02-07 while keeping the ZAR 42,600.00 minimum balance protected."
request_129,64.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-06-18. Only USD 64.53 is safely available now; none of the available options keeps the USD 800.00 minimum protected while covering the full USD 2,668.80."
request_130,372.12,affordable_later,wait,2024-12-15:1978.8,2024-12-15,none,"Insufficient funds today; USD 372.12 is safely available now. Wait until 2024-12-15 when projected cash flow supports the full USD 1,978.80 above the USD 1,400.00 minimum balance."
request_131,1283.17,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-05-03,none,"The USD 1,855.20 is best paid in 3 installments (2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14), each timed to when the balance can safely absorb the payment above USD 1,100.00."
request_132,379.86,affordable_now,full_payment,2026-01-05:379.86,2026-01-05,none,"The full amount of USD 379.86 can be paid on 2026-01-05 while keeping the USD 1,100.00 minimum balance protected."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. Only IDR 0.00 is safely available now; none of the available options keeps the IDR 9,986,200.00 minimum protected while covering the full IDR 15,770,000.00."
request_134,4370211.59,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Insufficient funds today; IDR 4,370,211.59 is safely available now. Wait until 2025-08-15 when projected cash flow supports the full IDR 21,831,000.00 above the IDR 15,902,500.00 minimum balance."
request_135,260.5,not_affordable,not_recommended,none,2026-07-06,none,Do not make this payment by 2026-07-14. Only USD 260.50 is safely available now; none of the available options keeps the USD 500.00 minimum protected while covering the full USD 304.80.
request_136,560.4,affordable_now,full_payment,2024-06-03:560.4,2024-06-03,none,"The full amount of USD 560.40 can be paid on 2024-06-03 while keeping the USD 1,100.00 minimum balance protected."
request_137,30596.21,affordable_later,wait,2025-11-15:80100,2025-11-15,none,"Insufficient funds today; INR 30,596.21 is safely available now. Wait until 2025-11-15 when projected cash flow supports the full INR 80,100.00 above the INR 71,800.00 minimum balance."
request_138,764.68,affordable_with_plan,partial_payment,2026-04-07:764.68|2026-04-15:492.26,2026-04-15,none,"Pay EUR 764.68 immediately and the remainder by 2026-04-15, keeping the EUR 2,300.00 minimum protected at every step."
request_139,1270.31,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"The USD 2,316.00 is best paid in 3 installments (2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88), each timed to when the balance can safely absorb the payment above USD 1,500.00."
request_140,1443.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. Only ZAR 1,443.40 is safely available now; none of the available options keeps the ZAR 21,600.00 minimum protected while covering the full ZAR 62,832.00."
request_141,26847.19,not_affordable,not_recommended,none,2026-03-15,none,"Do not make this payment by 2026-02-12. Only INR 26,847.19 is safely available now; none of the available options keeps the INR 67,300.00 minimum protected while covering the full INR 171,600.00."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.6,2024-12-05,none,"The full amount of USD 1,263.60 can be paid on 2024-12-05 while keeping the USD 1,700.00 minimum balance protected."
request_143,2467.29,affordable_later,wait,2025-05-15:12584,2025-05-15,none,"Insufficient funds today; ZAR 2,467.29 is safely available now. Wait until 2025-05-15 when projected cash flow supports the full ZAR 12,584.00 above the ZAR 11,300.00 minimum balance."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,The full amount of USD 233.34 can be paid on 2026-07-04 while keeping the USD 600.00 minimum balance protected.
request_145,40294.14,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-03-15,none,"The INR 217,400.00 is best paid in 3 installments (2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33), each timed to when the balance can safely absorb the payment above INR 155,400.00."
request_146,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. Only INR 0.00 is safely available now; none of the available options keeps the INR 108,600.00 minimum protected while covering the full INR 449,400.00."
request_147,348.78,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-04-15,none,"The EUR 1,129.70 is best paid in 3 installments (2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63), each timed to when the balance can safely absorb the payment above EUR 900.00."
